Variable,Bin_Index,Min_Value,Max_Value,Mean_Value,Median_Value,Timestep_Count,Percentage
PEEP,0,0.0,5.0,4.8,5.0,733044,65.43
PEEP,1,5.05,8.0,7.24,8.0,174485,15.57
PEEP,2,8.02,8774580.0,73.03,10.0,212874,19.0
FiO2,0,21.0,40.0,37.35,40.0,612359,54.66
FiO2,1,40.25,50.0,49.23,50.0,304987,27.22
FiO2,2,50.33,100.0,73.7,70.0,203057,18.12
tidal_volume,0,0.0,360.0,297.82,318.0,227230,20.28
tidal_volume,1,360.05,425.0,395.46,398.5,222940,19.9
tidal_volume,2,425.03,480.5,452.57,451.5,222203,19.83
tidal_volume,3,480.55,555.5,514.51,511.0,224284,20.02
tidal_volume,4,555.6,820914.0,838.43,638.0,223746,19.97
RespRate,0,2.0,16.25,14.16,14.5,228796,20.42
RespRate,1,16.26,19.0,17.77,17.8,223804,19.98
RespRate,2,19.02,21.75,20.42,20.38,223776,19.97
RespRate,3,21.76,25.2,23.38,23.33,220482,19.68
RespRate,4,25.21,68.0,28.84,28.0,223545,19.95
