Dataset,Category,Variable,Description,Total_Rows,Valid_Count,Missing_Count,Missing_Percent,Raw_Mean,Raw_Std,Min,P25,Median,P75,Max,IQR,Floor_P1,Cap_P99,Capped_Mean,Capped_Std,Display_Summary
Full_Dataset_Unfiltered,Demographics,gender,Patient Gender (M/F),2248324,2248324,0,0.0,,,,,,,,,,,,,"Male: 1,287,901 (57.28%), Female: 960,423 (42.72%)"
Full_Dataset_Unfiltered,Demographics,first_admit_age,Age at First Admission (years),2248324,2248324,0,0.0,63.93,16.24,18.0,54.0,66.0,76.0,91.4,22.0,22.0,91.4,63.95,16.19,63.95 ± 16.19 (Med: 66.0 [54.0-76.0])
Full_Dataset_Unfiltered,Demographics,weight,Patient Weight (kg),2248324,1674656,573668,25.52,89.02,1476.44,-54.6,68.5,81.73,97.95,551558.1,29.45,40.6,164.98,84.77,23.49,84.77 ± 23.49 (Med: 81.73 [68.5-97.95])
Full_Dataset_Unfiltered,Demographics,ICU_readm,ICU Readmission Flag (0/1),2248324,2248324,0,0.0,0.53,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.53,0.5,0.53 ± 0.5 (Med: 1.0 [0.0-1.0])
Full_Dataset_Unfiltered,Demographics,elixhauser_score,Elixhauser Comorbidity Score,2248324,2248324,0,0.0,5.12,8.62,-15.0,0.0,0.0,9.0,62.0,9.0,-4.0,33.0,5.1,8.44,5.1 ± 8.44 (Med: 0.0 [0.0-9.0])
Full_Dataset_Unfiltered,Demographics,HospMort90day,90-Day In-Hospital Mortality Flag (0/1),2248324,2248324,0,0.0,0.26,0.44,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.26,0.44,0.26 ± 0.44 (Med: 0.0 [0.0-1.0])
Full_Dataset_Unfiltered,Severity Scores,SOFA,Sequential Organ Failure Assessment Score,2248324,2248324,0,0.0,5.16,2.22,0.0,4.0,5.0,6.0,23.0,2.0,0.0,12.0,5.14,2.17,5.14 ± 2.17 (Med: 5.0 [4.0-6.0])
Full_Dataset_Unfiltered,Severity Scores,SIRS,Systemic Inflammatory Response Syndrome Score,2248324,2248324,0,0.0,0.9,0.86,0.0,0.0,1.0,2.0,4.0,2.0,0.0,3.0,0.89,0.85,0.89 ± 0.85 (Med: 1.0 [0.0-2.0])
Full_Dataset_Unfiltered,Severity Scores,gcs,Glasgow Coma Scale Total,2248324,1352174,896150,39.86,11.73,3.8,3.0,10.0,14.0,15.0,15.0,5.0,3.0,15.0,11.73,3.8,11.73 ± 3.8 (Med: 14.0 [10.0-15.0])
Full_Dataset_Unfiltered,Vital Signs,HeartRate,Heart Rate (bpm),2248324,2098424,149900,6.67,85.85,17.28,1.0,73.44,84.5,97.0,215.38,23.56,51.33,130.25,85.81,16.92,85.81 ± 16.92 (Med: 84.5 [73.44-97.0])
Full_Dataset_Unfiltered,Vital Signs,SysBP,Systolic Blood Pressure (mmHg),2248324,2030956,217368,9.67,120.35,19.67,0.1,106.0,118.0,133.0,278.0,27.0,82.5,172.0,120.35,19.19,120.35 ± 19.19 (Med: 118.0 [106.0-133.0])
Full_Dataset_Unfiltered,Vital Signs,DiasBP,Diastolic Blood Pressure (mmHg),2248324,2030841,217483,9.67,64.07,13.4,1.0,54.5,62.75,72.25,199.0,17.75,38.0,100.11,64.03,13.05,64.03 ± 13.05 (Med: 62.75 [54.5-72.25])
Full_Dataset_Unfiltered,Vital Signs,MeanBP,Mean Arterial Pressure (mmHg),2248324,2081416,166908,7.42,79.9,13.71,1.0,70.25,78.12,88.0,299.0,17.75,53.75,117.5,79.87,13.28,79.87 ± 13.28 (Med: 78.12 [70.25-88.0])
Full_Dataset_Unfiltered,Vital Signs,shockindex,Shock Index (SysBP / HeartRate),2248324,2029104,219220,9.75,1.47,0.4,0.0,1.18,1.41,1.69,6.63,0.51,0.75,2.63,1.46,0.39,1.46 ± 0.39 (Med: 1.41 [1.18-1.69])
Full_Dataset_Unfiltered,Vital Signs,RespRate,Respiratory Rate (bpm),2248324,2084934,163390,7.27,20.16,5.02,1.0,16.5,19.5,23.0,69.0,6.5,10.75,34.17,20.14,4.9,20.14 ± 4.9 (Med: 19.5 [16.5-23.0])
Full_Dataset_Unfiltered,Vital Signs,TempC,Body Temperature (°C),2248324,1842231,406093,18.06,36.94,0.6,24.61,36.61,36.89,37.22,43.06,0.61,35.5,38.67,36.94,0.56,36.94 ± 0.56 (Med: 36.89 [36.61-37.22])
