Category,Variable,Description,Full_Missing_Pct,Full_Raw_Mean_Std,Full_Capped_Mean_Std,Full_Median_IQR,Full_Min_Max,MDP_Missing_Pct,MDP_Raw_Mean_Std,MDP_Capped_Mean_Std,MDP_Median_IQR,MDP_Min_Max
Demographics,gender,Patient Gender (M/F),0.0,-,-,"Male: 1,287,901 (57.28%), Female: 960,423 (42.72%)",-,0.0,-,-,"Male: 673,097 (60.08%), Female: 447,306 (39.92%)",-
Demographics,first_admit_age,Age at First Admission (years),0.0,63.93 ± 16.24,63.95 ± 16.19 [P1: 22.0 | P99: 91.4],66.0 [54.0 - 76.0],18.0 to 91.4,0.0,63.09 ± 15.66,63.12 ± 15.56 [P1: 24.0 | P99: 91.4],64.0 [54.0 - 74.0],18.0 to 91.4
Demographics,weight,Patient Weight (kg),25.52,89.02 ± 1476.44,84.77 ± 23.49 [P1: 40.6 | P99: 164.98],81.73 [68.5 - 97.95],-54.6 to 551558.1,0.0,87.5 ± 25.89,87.13 ± 23.67 [P1: 42.65 | P99: 169.57],84.03 [70.82 - 100.1],-54.6 to 352.0
Demographics,ICU_readm,ICU Readmission Flag (0/1),0.0,0.53 ± 0.5,0.53 ± 0.5 [P1: 0.0 | P99: 1.0],1.0 [0.0 - 1.0],0.0 to 1.0,0.0,0.57 ± 0.49,0.57 ± 0.49 [P1: 0.0 | P99: 1.0],1.0 [0.0 - 1.0],0.0 to 1.0
Demographics,elixhauser_score,Elixhauser Comorbidity Score,0.0,5.12 ± 8.62,5.1 ± 8.44 [P1: -4.0 | P99: 33.0],0.0 [0.0 - 9.0],-15.0 to 62.0,0.0,5.87 ± 9.23,5.84 ± 9.05 [P1: -3.0 | P99: 34.0],0.0 [0.0 - 11.0],-14.0 to 53.0
Demographics,HospMort90day,90-Day In-Hospital Mortality Flag (0/1),0.0,0.26 ± 0.44,0.26 ± 0.44 [P1: 0.0 | P99: 1.0],0.0 [0.0 - 1.0],0.0 to 1.0,0.0,0.32 ± 0.47,0.32 ± 0.47 [P1: 0.0 | P99: 1.0],0.0 [0.0 - 1.0],0.0 to 1.0
Severity Scores,SOFA,Sequential Organ Failure Assessment Score,0.0,5.16 ± 2.22,5.14 ± 2.17 [P1: 0.0 | P99: 12.0],5.0 [4.0 - 6.0],0.0 to 23.0,0.0,5.89 ± 2.36,5.87 ± 2.28 [P1: 0.0 | P99: 12.0],5.0 [4.0 - 7.0],0.0 to 23.0
Severity Scores,SIRS,Systemic Inflammatory Response Syndrome Score,0.0,0.9 ± 0.86,0.89 ± 0.85 [P1: 0.0 | P99: 3.0],1.0 [0.0 - 2.0],0.0 to 4.0,0.0,1.03 ± 0.86,1.03 ± 0.86 [P1: 0.0 | P99: 3.0],1.0 [0.0 - 2.0],0.0 to 4.0
Severity Scores,gcs,Glasgow Coma Scale Total,39.86,11.73 ± 3.8,11.73 ± 3.8 [P1: 3.0 | P99: 15.0],14.0 [10.0 - 15.0],3.0 to 15.0,0.0,10.22 ± 4.06,10.22 ± 4.06 [P1: 3.0 | P99: 15.0],10.0 [7.0 - 14.0],3.0 to 15.0
Vital Signs,HeartRate,Heart Rate (bpm),6.67,85.85 ± 17.28,85.81 ± 16.92 [P1: 51.33 | P99: 130.25],84.5 [73.44 - 97.0],1.0 to 215.38,0.0,87.78 ± 17.29,87.74 ± 16.96 [P1: 53.0 | P99: 132.75],86.67 [75.5 - 99.0],2.0 to 215.38
Vital Signs,SysBP,Systolic Blood Pressure (mmHg),9.67,120.35 ± 19.67,120.35 ± 19.19 [P1: 82.5 | P99: 172.0],118.0 [106.0 - 133.0],0.1 to 278.0,0.0,118.91 ± 19.32,118.92 ± 18.8 [P1: 80.12 | P99: 170.0],116.5 [105.2 - 131.0],7.0 to 278.0
Vital Signs,DiasBP,Diastolic Blood Pressure (mmHg),9.67,64.07 ± 13.4,64.03 ± 13.05 [P1: 38.0 | P99: 100.11],62.75 [54.5 - 72.25],1.0 to 199.0,0.0,62.16 ± 12.79,62.13 ± 12.44 [P1: 37.0 | P99: 97.25],60.75 [53.25 - 70.0],6.0 to 199.0
Vital Signs,MeanBP,Mean Arterial Pressure (mmHg),7.42,79.9 ± 13.71,79.87 ± 13.28 [P1: 53.75 | P99: 117.5],78.12 [70.25 - 88.0],1.0 to 299.0,0.0,78.79 ± 13.12,78.77 ± 12.65 [P1: 54.0 | P99: 115.5],77.0 [69.75 - 86.25],3.0 to 299.0
Vital Signs,shockindex,Shock Index (SysBP / HeartRate),9.75,1.47 ± 0.4,1.46 ± 0.39 [P1: 0.75 | P99: 2.63],1.41 [1.18 - 1.69],0.0 to 6.63,0.0,1.41 ± 0.38,1.41 ± 0.37 [P1: 0.73 | P99: 2.51],1.36 [1.14 - 1.63],0.07 to 5.26
Vital Signs,RespRate,Respiratory Rate (bpm),7.27,20.16 ± 5.02,20.14 ± 4.9 [P1: 10.75 | P99: 34.17],19.5 [16.5 - 23.0],1.0 to 69.0,0.0,20.87 ± 5.31,20.86 ± 5.2 [P1: 10.5 | P99: 35.0],20.25 [17.0 - 24.12],2.0 to 68.0
Vital Signs,TempC,Body Temperature (°C),18.06,36.94 ± 0.6,36.94 ± 0.56 [P1: 35.5 | P99: 38.67],36.89 [36.61 - 37.22],24.61 to 43.06,0.0,36.99 ± 0.66,36.99 ± 0.61 [P1: 35.28 | P99: 38.8],36.94 [36.63 - 37.33],26.44 to 43.06
Vital Signs,SpO2,Pulse Oximetry Saturation (%),7.29,96.69 ± 2.85,96.76 ± 2.38 [P1: 89.25 | P99: 100.0],97.0 [95.25 - 98.75],1.0 to 100.0,0.0,96.89 ± 3.46,97.02 ± 2.46 [P1: 88.33 | P99: 100.0],97.5 [95.5 - 99.0],1.0 to 100.0
Blood Gas & Acid-Base,PH,Arterial Blood Gas pH,91.29,7.36 ± 0.08,7.36 ± 0.08 [P1: 7.11 | P99: 7.53],7.37 [7.32 - 7.42],7.0 to 7.79,0.0,7.37 ± 0.08,7.38 ± 0.07 [P1: 7.16 | P99: 7.53],7.38 [7.33 - 7.42],7.0 to 7.76
Blood Gas & Acid-Base,PAO2,"Partial Pressure of Oxygen (PaO2, mmHg)",97.2,89.93 ± 11.14,89.93 ± 11.14 [P1: 70.0 | P99: 110.0],90.0 [81.0 - 99.0],70.0 to 110.0,0.0,90.03 ± 10.18,90.03 ± 10.18 [P1: 70.0 | P99: 110.0],89.8 [83.0 - 97.0],70.0 to 110.0
Blood Gas & Acid-Base,PACO2,"Partial Pressure of Carbon Dioxide (PaCO2, mmHg)",92.37,40.09 ± 7.04,40.1 ± 7.0 [P1: 24.0 | P99: 57.0],40.0 [35.25 - 44.6],22.0 to 58.0,0.0,40.33 ± 7.53,40.35 ± 7.49 [P1: 25.0 | P99: 58.0],40.0 [35.0 - 45.0],22.0 to 58.0
Blood Gas & Acid-Base,BASE_EXCESS,Base Excess (mEq/L),92.33,-1.12 ± 3.83,-1.12 ± 3.82 [P1: -10.0 | P99: 9.0],-1.0 [-3.5 - 1.0],-10.0 to 10.0,0.0,-0.86 ± 4.19,-0.86 ± 4.19 [P1: -10.0 | P99: 10.0],-0.5 [-3.83 - 1.0],-10.0 to 10.0
Blood Gas & Acid-Base,BICARBONATE,Serum Bicarbonate (mEq/L),88.4,22.86 ± 4.85,22.84 ± 4.69 [P1: 10.0 | P99: 37.0],23.0 [20.0 - 25.5],2.0 to 50.0,0.0,22.79 ± 5.0,22.78 ± 4.85 [P1: 12.0 | P99: 38.0],22.0 [20.0 - 25.0],2.0 to 50.0
Blood Gas & Acid-Base,LACTATE,Serum Lactate (mmol/L),92.73,2.53 ± 2.29,2.49 ± 2.07 [P1: 0.6 | P99: 12.9],1.88 [1.3 - 2.8],0.0 to 29.0,0.0,2.09 ± 1.68,2.06 ± 1.47 [P1: 0.6 | P99: 9.2],1.6 [1.2 - 2.4],0.1 to 28.7
Blood Gas & Acid-Base,PAO2FiO2ratio,PaO2 / FiO2 Ratio (Horowitz Index),98.25,172.52 ± 60.05,172.3 ± 59.16 [P1: 74.0 | P99: 340.0],169.35 [125.29 - 212.0],70.0 to 519.05,0.0,184.41 ± 53.99,184.23 ± 53.22 [P1: 76.0 | P99: 336.67],182.36 [149.62 - 215.0],70.0 to 509.52
Electrolytes & Chemistries,POTASSIUM,Serum Potassium (mEq/L),86.51,4.22 ± 0.66,4.22 ± 0.63 [P1: 2.9 | P99: 6.2],4.15 [3.8 - 4.6],0.8 to 13.0,0.0,4.22 ± 0.61,4.22 ± 0.59 [P1: 3.0 | P99: 5.9],4.2 [3.8 - 4.6],1.27 to 11.49
Electrolytes & Chemistries,SODIUM,Serum Sodium (mEq/L),87.13,137.76 ± 5.61,137.75 ± 5.25 [P1: 120.0 | P99: 153.0],138.0 [135.0 - 141.0],73.96 to 187.0,0.0,138.64 ± 5.27,138.63 ± 5.02 [P1: 125.0 | P99: 152.0],139.0 [136.0 - 142.0],73.96 to 187.0
Electrolytes & Chemistries,CHLORIDE,Serum Chloride (mEq/L),87.4,103.71 ± 6.7,103.7 ± 6.39 [P1: 85.0 | P99: 120.0],104.0 [100.0 - 108.0],3.4 to 203.67,0.0,104.22 ± 6.65,104.21 ± 6.41 [P1: 87.0 | P99: 120.0],105.0 [100.0 - 108.0],60.67 to 203.67
Electrolytes & Chemistries,GLUCOSE,Serum Glucose (mg/dL),87.01,143.67 ± 68.91,142.34 ± 57.32 [P1: 64.0 | P99: 393.0],128.0 [106.0 - 160.0],3.0 to 4560.0,0.0,141.13 ± 56.35,140.53 ± 51.89 [P1: 64.0 | P99: 343.0],128.0 [106.0 - 161.0],3.0 to 4560.0
Electrolytes & Chemistries,BUN,Blood Urea Nitrogen (mg/dL),88.36,28.3 ± 23.79,28.07 ± 22.63 [P1: 4.0 | P99: 119.0],20.0 [13.0 - 35.0],1.0 to 263.0,0.0,31.54 ± 24.35,31.35 ± 23.42 [P1: 5.0 | P99: 123.0],24.0 [15.0 - 40.0],1.0 to 263.0
Electrolytes & Chemistries,CREATININE,Serum Creatinine (mg/dL),88.33,1.56 ± 1.67,1.53 ± 1.46 [P1: 0.4 | P99: 8.8],1.0 [0.7 - 1.6],0.0 to 62.23,0.0,1.69 ± 1.57,1.67 ± 1.43 [P1: 0.3 | P99: 7.9],1.1 [0.8 - 2.0],0.0 to 62.23
Electrolytes & Chemistries,MAGNESIUM,Serum Magnesium (mg/dL),89.38,2.09 ± 0.56,2.07 ± 0.4 [P1: 1.25 | P99: 3.5],2.0 [1.8 - 2.3],0.0 to 41.8,0.0,2.17 ± 0.54,2.16 ± 0.43 [P1: 1.3 | P99: 3.7],2.1 [1.9 - 2.4],0.0 to 40.5
Electrolytes & Chemistries,CALCIUM,Serum Calcium (mg/dL),90.01,8.36 ± 0.85,8.35 ± 0.78 [P1: 6.3 | P99: 10.6],8.4 [7.9 - 8.8],0.0 to 46.2,0.0,8.27 ± 0.83,8.26 ± 0.76 [P1: 6.4 | P99: 10.6],8.2 [7.8 - 8.7],0.0 to 22.5
Electrolytes & Chemistries,CARBONDIOXIDE,Total Carbon Dioxide (mEq/L),91.83,24.51 ± 5.9,24.48 ± 5.65 [P1: 11.0 | P99: 44.0],24.0 [21.0 - 27.0],0.0 to 89.0,0.0,24.83 ± 5.62,24.8 ± 5.43 [P1: 13.0 | P99: 43.0],24.0 [21.0 - 28.0],3.5 to 64.0
Liver & Proteins,SGOT,"Aspartate Aminotransferase (AST/SGOT, IU/L)",92.67,363.86 ± 7974.34,257.41 ± 773.59 [P1: 10.0 | P99: 5681.54],51.0 [27.0 - 123.0],0.0 to 999999.0,0.0,154.97 ± 3064.52,113.27 ± 258.64 [P1: 10.0 | P99: 2008.0],43.0 [25.0 - 93.7],3.0 to 999999.0
Liver & Proteins,SGPT,"Alanine Aminotransferase (ALT/SGPT, IU/L)",92.66,277.3 ± 7918.14,189.83 ± 526.3 [P1: 5.0 | P99: 3686.0],37.0 [18.0 - 99.0],0.0 to 999999.0,0.0,112.35 ± 3010.69,88.34 ± 198.92 [P1: 5.0 | P99: 1504.96],31.0 [16.0 - 76.0],0.0 to 999999.0
Liver & Proteins,BILIRUBIN,Total Bilirubin (mg/dL),96.31,2.29 ± 4.94,2.2 ± 4.26 [P1: 0.2 | P99: 27.6],0.8 [0.4 - 1.8],0.0 to 78.0,0.0,1.85 ± 4.22,1.74 ± 3.32 [P1: 0.2 | P99: 22.7],0.7 [0.4 - 1.4],0.0 to 78.0
Liver & Proteins,ALBUMIN,Serum Albumin (g/dL),97.97,3.08 ± 0.68,3.08 ± 0.66 [P1: 1.5 | P99: 4.6],3.1 [2.6 - 3.6],0.5 to 6.8,0.0,2.97 ± 0.57,2.97 ± 0.56 [P1: 1.6 | P99: 4.4],2.99 [2.6 - 3.32],0.5 to 6.0
Hematology & Coagulation,HEMOGLOBIN,Hemoglobin (g/dL),88.19,10.3 ± 2.12,10.29 ± 2.08 [P1: 6.3 | P99: 15.6],10.1 [8.7 - 11.7],0.0 to 30.3,0.0,10.12 ± 2.05,10.11 ± 2.01 [P1: 6.5 | P99: 15.6],9.9 [8.6 - 11.4],2.3 to 30.3
