Dataset,Category,Variable,Description,Total_Rows,Valid_Count,Missing_Count,Missing_Percent,Mean,Std,Min,P25,Median,P75,Max,IQR
Full_Dataset_Unfiltered,Demographics,gender,Patient Gender (M/F),2248324,2248324,0,0.0,,,,,,,,
Full_Dataset_Unfiltered,Demographics,first_admit_age,Age at First Admission (years),2248324,2248324,0,0.0,63.93,16.24,18.0,54.0,66.0,76.0,91.4,22.0
Full_Dataset_Unfiltered,Demographics,weight,Patient Weight (kg),2248324,1674656,573668,25.52,89.02,1476.44,-54.6,68.5,81.73,97.95,551558.1,29.45
Full_Dataset_Unfiltered,Demographics,ICU_readm,ICU Readmission Flag (0/1),2248324,2248324,0,0.0,0.53,0.5,0.0,0.0,1.0,1.0,1.0,1.0
Full_Dataset_Unfiltered,Demographics,elixhauser_score,Elixhauser Comorbidity Score,2248324,2248324,0,0.0,5.12,8.62,-15.0,0.0,0.0,9.0,62.0,9.0
Full_Dataset_Unfiltered,Demographics,HospMort90day,90-Day In-Hospital Mortality Flag (0/1),2248324,2248324,0,0.0,0.26,0.44,0.0,0.0,0.0,1.0,1.0,1.0
Full_Dataset_Unfiltered,Severity Scores,SOFA,Sequential Organ Failure Assessment Score,2248324,2248324,0,0.0,5.16,2.22,0.0,4.0,5.0,6.0,23.0,2.0
Full_Dataset_Unfiltered,Severity Scores,SIRS,Systemic Inflammatory Response Syndrome Score,2248324,2248324,0,0.0,0.9,0.86,0.0,0.0,1.0,2.0,4.0,2.0
Full_Dataset_Unfiltered,Severity Scores,gcs,Glasgow Coma Scale Total,2248324,1352174,896150,39.86,11.73,3.8,3.0,10.0,14.0,15.0,15.0,5.0
Full_Dataset_Unfiltered,Vital Signs,HeartRate,Heart Rate (bpm),2248324,2098424,149900,6.67,85.85,17.28,1.0,73.44,84.5,97.0,215.38,23.56
Full_Dataset_Unfiltered,Vital Signs,SysBP,Systolic Blood Pressure (mmHg),2248324,2030956,217368,9.67,120.35,19.67,0.1,106.0,118.0,133.0,278.0,27.0
Full_Dataset_Unfiltered,Vital Signs,DiasBP,Diastolic Blood Pressure (mmHg),2248324,2030841,217483,9.67,64.07,13.4,1.0,54.5,62.75,72.25,199.0,17.75
Full_Dataset_Unfiltered,Vital Signs,MeanBP,Mean Arterial Pressure (mmHg),2248324,2081416,166908,7.42,79.9,13.71,1.0,70.25,78.12,88.0,299.0,17.75
Full_Dataset_Unfiltered,Vital Signs,shockindex,Shock Index (SysBP / HeartRate),2248324,2029104,219220,9.75,1.47,0.4,0.0,1.18,1.41,1.69,6.63,0.51
Full_Dataset_Unfiltered,Vital Signs,RespRate,Respiratory Rate (bpm),2248324,2084934,163390,7.27,20.16,5.02,1.0,16.5,19.5,23.0,69.0,6.5
Full_Dataset_Unfiltered,Vital Signs,TempC,Body Temperature (°C),2248324,1842231,406093,18.06,36.94,0.6,24.61,36.61,36.89,37.22,43.06,0.61
Full_Dataset_Unfiltered,Vital Signs,SpO2,Pulse Oximetry Saturation (%),2248324,2084485,163839,7.29,96.69,2.85,1.0,95.25,97.0,98.75,100.0,3.5
Full_Dataset_Unfiltered,Blood Gas & Acid-Base,PH,Arterial Blood Gas pH,2248324,195779,2052545,91.29,7.36,0.08,7.0,7.32,7.37,7.42,7.79,0.1
Full_Dataset_Unfiltered,Blood Gas & Acid-Base,PAO2,"Partial Pressure of Oxygen (PaO2, mmHg)",2248324,63008,2185316,97.2,89.93,11.14,70.0,81.0,90.0,99.0,110.0,18.0
Full_Dataset_Unfiltered,Blood Gas & Acid-Base,PACO2,"Partial Pressure of Carbon Dioxide (PaCO2, mmHg)",2248324,171472,2076852,92.37,40.09,7.04,22.0,35.25,40.0,44.6,58.0,9.35
Full_Dataset_Unfiltered,Blood Gas & Acid-Base,BASE_EXCESS,Base Excess (mEq/L),2248324,172427,2075897,92.33,-1.12,3.83,-10.0,-3.5,-1.0,1.0,10.0,4.5
Full_Dataset_Unfiltered,Blood Gas & Acid-Base,BICARBONATE,Serum Bicarbonate (mEq/L),2248324,260695,1987629,88.4,22.86,4.85,2.0,20.0,23.0,25.5,50.0,5.5
Full_Dataset_Unfiltered,Blood Gas & Acid-Base,LACTATE,Serum Lactate (mmol/L),2248324,163391,2084933,92.73,2.53,2.29,0.0,1.3,1.88,2.8,29.0,1.5
Full_Dataset_Unfiltered,Blood Gas & Acid-Base,PAO2FiO2ratio,PaO2 / FiO2 Ratio (Horowitz Index),2248324,39429,2208895,98.25,172.52,60.05,70.0,125.29,169.35,212.0,519.05,86.71
Full_Dataset_Unfiltered,Electrolytes & Chemistries,POTASSIUM,Serum Potassium (mEq/L),2248324,303368,1944956,86.51,4.22,0.66,0.8,3.8,4.15,4.6,13.0,0.8
Full_Dataset_Unfiltered,Electrolytes & Chemistries,SODIUM,Serum Sodium (mEq/L),2248324,289393,1958931,87.13,137.76,5.61,73.96,135.0,138.0,141.0,187.0,6.0
Full_Dataset_Unfiltered,Electrolytes & Chemistries,CHLORIDE,Serum Chloride (mEq/L),2248324,283393,1964931,87.4,103.71,6.7,3.4,100.0,104.0,108.0,203.67,8.0
Full_Dataset_Unfiltered,Electrolytes & Chemistries,GLUCOSE,Serum Glucose (mg/dL),2248324,292028,1956296,87.01,143.67,68.91,3.0,106.0,128.0,160.0,4560.0,54.0
Full_Dataset_Unfiltered,Electrolytes & Chemistries,BUN,Blood Urea Nitrogen (mg/dL),2248324,261772,1986552,88.36,28.3,23.79,1.0,13.0,20.0,35.0,263.0,22.0
Full_Dataset_Unfiltered,Electrolytes & Chemistries,CREATININE,Serum Creatinine (mg/dL),2248324,262387,1985937,88.33,1.56,1.67,0.0,0.7,1.0,1.6,62.23,0.9
Full_Dataset_Unfiltered,Electrolytes & Chemistries,MAGNESIUM,Serum Magnesium (mg/dL),2248324,238882,2009442,89.38,2.09,0.56,0.0,1.8,2.0,2.3,41.8,0.5
Full_Dataset_Unfiltered,Electrolytes & Chemistries,CALCIUM,Serum Calcium (mg/dL),2248324,224549,2023775,90.01,8.36,0.85,0.0,7.9,8.4,8.8,46.2,0.9
Full_Dataset_Unfiltered,Electrolytes & Chemistries,CARBONDIOXIDE,Total Carbon Dioxide (mEq/L),2248324,183647,2064677,91.83,24.51,5.9,0.0,21.0,24.0,27.0,89.0,6.0
Full_Dataset_Unfiltered,Liver & Proteins,SGOT,"Aspartate Aminotransferase (AST/SGOT, IU/L)",2248324,164883,2083441,92.67,363.86,7974.34,0.0,27.0,51.0,123.0,999999.0,96.0
Full_Dataset_Unfiltered,Liver & Proteins,SGPT,"Alanine Aminotransferase (ALT/SGPT, IU/L)",2248324,164933,2083391,92.66,277.3,7918.14,0.0,18.0,37.0,99.0,999999.0,81.0
Full_Dataset_Unfiltered,Liver & Proteins,BILIRUBIN,Total Bilirubin (mg/dL),2248324,82881,2165443,96.31,2.29,4.94,0.0,0.4,0.8,1.8,78.0,1.4
Full_Dataset_Unfiltered,Liver & Proteins,ALBUMIN,Serum Albumin (g/dL),2248324,45690,2202634,97.97,3.08,0.68,0.5,2.6,3.1,3.6,6.8,1.0
Full_Dataset_Unfiltered,Hematology & Coagulation,HEMOGLOBIN,Hemoglobin (g/dL),2248324,265478,1982846,88.19,10.3,2.12,0.0,8.7,10.1,11.7,30.3,3.0
Full_Dataset_Unfiltered,Hematology & Coagulation,WBC,White Blood Cell Count (10^9/L),2248324,250288,1998036,88.87,12.48,10.57,0.0,7.7,10.8,15.0,525.1,7.3
Full_Dataset_Unfiltered,Hematology & Coagulation,PLATELET,Platelet Count (10^9/L),2248324,253022,1995302,88.75,197.24,110.48,5.0,126.0,179.0,246.0,2947.0,120.0
